// author: Hans-Peter Pfeiffer
// email:  H.Pfeiffer@stud.uni-heidelberg.de
// date:   2011-12-16
// This file contains "moveable holidays". They can be calculated realtive to the Eastersunday like many christian holidays or relative to a date.
// The german "Buß- und Bettag" is the first wednesday before YEAR-11-23. The placeholders are replaced with the value from the ruleset.
// available functions: EasterSunday(<YEAR>, <numberOfDaysToAdd>), WeekdayRelativeTo(<DateToBeRelativeTo>, <Weekday>, <numberOfWeekdays>, <countItself>)
// available placeholder: DATE, YEAR, MONTH, DAY 
// sunday=1, monday=2, tuesday=3, wednesday=4, thursday=5, friday=6, saturday=7
// 
// FORMAT: "holiday","funcDateCalc(<function>(<arguments>))"
//
// the reference of the values is given in the repattern file
//

// http://en.wikipedia.org/wiki/Ash_Wednesday
"Ash Wednesday","funcDateCalc(EasterSunday(YEAR, -46))"

// http://en.wikipedia.org/wiki/Palm_Sunday
"Palm Sunday","funcDateCalc(EasterSunday(YEAR, -7))"
"Yew Sunday","funcDateCalc(EasterSunday(YEAR, -7))"
"Branch Sunday","funcDateCalc(EasterSunday(YEAR, -7))"

// http://en.wikipedia.org/wiki/Maundy_Thursday
"Maundy Thursday","funcDateCalc(EasterSunday(YEAR, -3))"
"Holy Thursday","funcDateCalc(EasterSunday(YEAR, -3))"
"Covenant Thursday","funcDateCalc(EasterSunday(YEAR, -3))"
"Great & Holy Thursday","funcDateCalc(EasterSunday(YEAR, -3))"
"Thursday of Mysteries","funcDateCalc(EasterSunday(YEAR, -3))"

// http://en.wikipedia.org/wiki/Good_Friday
"Good Friday","funcDateCalc(EasterSunday(YEAR, -2))" 
"Holy Friday","funcDateCalc(EasterSunday(YEAR, -2))"
"Great Friday","funcDateCalc(EasterSunday(YEAR, -2))"
"Easter Friday","funcDateCalc(EasterSunday(YEAR, -2))"

// http://en.wikipedia.org/wiki/Holy_Saturday
"Holy Saturday","funcDateCalc(EasterSunday(YEAR, -1))"
"Easter Eve","funcDateCalc(EasterSunday(YEAR, -1))"
"Black Saturday","funcDateCalc(EasterSunday(YEAR, -1))"
"Holy and Great Saturday","funcDateCalc(EasterSunday(YEAR, -1))"
"The Great Sabbath","funcDateCalc(EasterSunday(YEAR, -1))"
